Z,CO_TAZID,SUBAREAID,TOTHH,HHPOP,HHSIZE,TOTWRK,HHV0,HHV1,HHV2,HHV3,AUTOS,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,AVGINCOME,ENROL_ELEM,ENROL_MIDL,ENROL_HIGH,CO_FIPS,CO_NAME,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME
     46.00,  30046.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  79606.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     47.00,  30047.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      2.00,Brigham City Area - W of I-15  ,      2.00,Brigham City                                 
     48.00,  30048.00,      1.00,     10.00,     34.00,      3.40,     14.18,      0.20,      1.60,      4.80,      3.50,     23.30,         0,         0,         0,         0,      1.90,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.40,      0.50,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      2.00,Brigham City Area - W of I-15  ,      2.00,Brigham City                                 
     49.00,  30049.00,      1.00,     53.60,    142.20,      2.65,     65.69,      1.90,     11.60,     24.30,     15.90,    115.70,    283.60,    114.00,     65.20,    104.40,    333.00,     78.40,     35.60,     48.20,     17.00,      9.70,     24.10,     20.80,     49.80,         0,         0,     46.50,      2.80,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     50.00,  30050.00,      1.00,    109.10,    288.80,      2.65,    132.74,      3.90,     25.10,     48.70,     31.40,    232.40,    450.80,     37.90,    103.30,    309.60,    505.20,     22.70,     15.20,     64.80,     38.50,     41.10,    121.20,     84.80,     62.50,         0,         0,     48.60,      5.70,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     51.00,  30051.00,      1.00,     55.40,    249.00,      4.49,     86.80,      1.10,      8.10,     27.60,     18.60,    128.60,     85.10,      4.70,     34.90,     45.50,    101.80,      2.80,      1.90,     14.80,     20.10,     16.20,      3.70,     17.90,      7.70,         0,         0,     13.60,      2.90,  53556.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     52.00,  30052.00,      1.00,     46.00,     92.70,      2.02,     37.51,      3.60,     17.30,     17.70,      7.40,     78.60,   1800.30,         0,     87.50,   1712.80,   1802.70,         0,         0,     87.50,         0,         0,         0,     13.20,   1699.60,         0,         0,         0,      2.40,  36260.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     53.00,  30053.00,      1.00,    220.20,    524.40,      2.38,    212.04,     15.30,     73.00,     87.60,     44.40,    403.60,   1237.10,    244.80,     19.00,    973.30,   1248.80,    213.10,     31.70,         0,     19.00,     51.50,    310.60,     63.30,    547.90,         0,         0,         0,     11.60,  36260.00,         0,         0,    116.00,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     54.00,  30054.00,      1.00,    170.30,    363.70,      2.14,    151.34,     12.30,     61.20,     66.70,     30.10,    300.10,    662.30,     52.30,     22.40,    587.60,    672.00,      9.80,     42.50,     16.90,      5.50,     80.10,    206.80,     89.30,    211.40,         0,         0,      0.70,      9.00,  40402.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     55.00,  30055.00,      1.00,    156.20,    368.90,      2.36,    152.92,     10.00,     50.70,     63.30,     32.20,    289.90,    210.60,         0,         0,    210.60,    218.70,         0,         0,         0,         0,      1.70,    194.20,         0,     14.70,         0,         0,         0,      8.20,  40402.00,         0,   1093.00,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     56.00,  30056.00,      1.00,     36.30,     82.40,      2.27,     40.32,      1.30,     10.10,     16.10,      8.70,     72.80,         0,         0,         0,         0,      3.30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.40,      1.90,  79606.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
