merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
2924,MAG_6390_E,POINT (-111.75029971304672 40.08518252976651),436040_4437480,MAG_6390,E,WB
2925,MAG_6141_E,POINT (-111.87311902860651 40.4323310100797),425940_4476100,MAG_6141,E,WB
2927,MAG_6242_E,POINT (-111.7265444293757 40.26054556958285),438220_4456920,MAG_6242,E,WB
2928,MAG_6146_E,POINT (-111.71673657878496 40.24252240331487),439040_4454920,MAG_6146,E,WB
2929,MAG_6148_E,POINT (-111.74415286623729 40.3262273313068),436780_4464240,MAG_6148,E,WB
2930,MAG_6149_E,POINT (-111.76336491622588 40.34042341845085),435160_4465820,MAG_6149,E,WB
2931,MAG_6155_E,POINT (-111.65463915642776 40.12965191692828),444220_4442360,MAG_6155,E,WB
2932,MAG_6173_E,POINT (-112.02141279669986 40.346625222382755),413260_4466740,MAG_6173,E,WB
2933,MAG_6156_E,POINT (-112.02093623182363 40.356412920992504),413300_4467820,MAG_6156,E,WB
2933,MAG_6729_E,POINT (-112.02093623182363 40.356412920992504),413300_4467820,MAG_6729,E,WB
2934,MAG_6327_E,POINT (-112.04812073912397 40.30546886123191),410940_4462180,MAG_6327,E,WB
2935,MAG_6158_E,POINT (-112.04790143110766 40.29081535091901),410940_4460560,MAG_6158,E,WB
2936,MAG_6233_E,POINT (-112.0459407716708 40.2616205573683),411060_4457320,MAG_6233,E,WB
2937,MAG_6639_E,POINT (-111.9745526372824 40.39113252761695),417280_4471620,MAG_6639,E,WB
2938,MAG_6165_E,POINT (-111.73878580543764 40.304373988625954),437220_4461800,MAG_6165,E,WB
2939,MAG_6848_E,POINT (-111.9928577539548 40.333283764318864),415660_4465220,MAG_6848,E,WB
2940,MAG_6170_E,POINT (-111.98129927667053 40.337286868804),416640_4465660,MAG_6170,E,WB
2941,MAG_6174_E,POINT (-111.70854516370915 40.15118731437615),439660_4444780,MAG_6174,E,WB
2941,MAG_6194_E,POINT (-111.70854516370915 40.15118731437615),439660_4444780,MAG_6194,E,WB
2941,MAG_6259_E,POINT (-111.70854516370915 40.15118731437615),439660_4444780,MAG_6259,E,WB
2942,MAG_6368_E,POINT (-111.71154368796772 40.12200022616934),439380_4441540,MAG_6368,E,WB
2943,MAG_6177_E,POINT (-111.71153732410396 40.10736631588658),439360_4439920,MAG_6177,E,WB
2944,MAG_6393_E,POINT (-111.70831036959535 40.09223786957997),439620_4438240,MAG_6393,E,WB
2944,MAG_6394_E,POINT (-111.70831036959535 40.09223786957997),439620_4438240,MAG_6394,E,WB
2945,MAG_6178_E,POINT (-111.7082000978062 40.08532940234413),439620_4437460,MAG_6178,E,WB
2946,MAG_6179_E,POINT (-111.74961682073743 40.114586687681594),436120_4440740,MAG_6179,E,WB
2946,MAG_6409_E,POINT (-111.74961682073743 40.114586687681594),436120_4440740,MAG_6409,E,WB
2947,MAG_6281_E,POINT (-111.7692738612584 40.07058419100672),434400_4435880,MAG_6281,E,WB
2948,MAG_6289_E,POINT (-111.76809336118787 40.02221904472431),434460_4430500,MAG_6289,E,WB
2948,MAG_6294_E,POINT (-111.76809336118787 40.02221904472431),434460_4430500,MAG_6294,E,WB
2949,MAG_6433_E,POINT (-111.77693176386673 39.982090210233174),433660_4426060,MAG_6433,E,WB
2950,MAG_6410_E,POINT (-111.74960608330231 40.12915870072691),436140_4442360,MAG_6410,E,WB
2950,MAG_6411_E,POINT (-111.74960608330231 40.12915870072691),436140_4442360,MAG_6411,E,WB
2951,MAG_6193_E,POINT (-111.69965416233458 40.15148531495742),440400_4444800,MAG_6193,E,WB
2953,MAG_6195_E,POINT (-111.59773108955775 40.10087681925436),449060_4439120,MAG_6195,E,WB
2954,MAG_6196_E,POINT (-111.5969886463773 40.1023047092824),449120_4439280,MAG_6196,E,WB
2955,MAG_6244_E,POINT (-111.73044135203949 40.13311137419579),437780_4442780,MAG_6244,E,WB
2956,MAG_6777_E,POINT (-112.03426128431227 40.298444215951626),412100_4461400,MAG_6777,E,WB
2957,MAG_6204_E,POINT (-112.0248709127582 40.29578380868156),412900_4461100,MAG_6204,E,WB
2958,MAG_6205_E,POINT (-111.9953705192969 40.295546181655325),415400_4461040,MAG_6205,E,WB
2958,MAG_6816_E,POINT (-111.9953705192969 40.295546181655325),415400_4461040,MAG_6816,E,WB
2959,MAG_6207_E,POINT (-112.05944592776119 40.347639364383134),410020_4466880,MAG_6207,E,WB
2959,MAG_6211_E,POINT (-112.05944592776119 40.347639364383134),410020_4466880,MAG_6211,E,WB
