STOPID,SegID,Direction
414120_4576360,0089_421.7,EB
413980_4576620,0089_422.5,EB
413540_4577740,0089_422.7,EB
413380_4578320,0089_423.4,EB
413380_4578320,0089_423.8,EB
413460_4580200,0089_425.0,EB
413380_4584460,0089_427.1,EB
413380_4584460,0089_427.7,EB
413400_4585080,0089_428.1,EB
413360_4588640,0089_428.8,EB
413360_4588640,0089_430.3,EB
413960_4591300,0089_432.1,EB
415060_4593000,0089_433.3,EB
415220_4595440,0090_000.0,EB
415480_4595420,0090_000.2,EB
416020_4595420,0090_000.5,EB
412100_4593220,0091_000.1,EB
413600_4593280,0091_001.0,EB
414160_4593280,0091_001.4,EB
414540_4593280,0091_001.6,EB
415160_4593280,0091_002.0,EB
417280_4594720,0091_003.7,EB
419120_4594460,0091_004.9,EB
420360_4594460,0091_005.7,EB
420460_4600300,0091_006.6,EB
424020_4476000,0092_000.0,EB
424220_4476020,0092_000.1,EB
424780_4476040,0092_000.5,EB
425280_4476060,0092_000.8,EB
426300_4476140,0092_001.4,EB
427940_4476140,0092_002.4,EB
429540_4476040,0092_003.4,EB
430300_4476000,0092_003.9,EB
431960_4476000,0092_004.9,EB
433400_4476000,0092_005.8,EB
434400_4476000,0092_006.4,EB
435700_4475960,0092_007.3,EB
436220_4476000,0092_007.6,EB
440120_4477260,0092_010.2,EB
443860_4478320,0092_012.7,EB
448060_4475720,0092_018.8,EB
448940_4472860,0092_022.7,EB
423880_4523800,0093_000.0,EB
423980_4523780,0093_000.1,EB
488420_4407320,0096_013.6,EB
488420_4407320,0096_013.8,EB
405800_4557560,0097_000.0,EB
406640_4557560,0097_000.5,EB
407560_4557540,0097_001.1,EB
408280_4557520,0097_001.5,EB
409080_4557500,0097_002.0,EB
410700_4557240,0097_003.1,EB
411500_4557240,0097_003.6,EB
412320_4557220,0097_004.1,EB
412840_4557220,0097_004.4,EB
413920_4557220,0097_005.1,EB
414180_4557220,0097_005.3,EB
413880_4552920,0103_000.0,EB
414040_4564660,0104_000.0,EB
415160_4564640,0104_000.7,EB
415660_4564700,0104_001.0,EB
416900_4564860,0104_001.8,EB
416900_4564860,0104_002.5,EB
424240_4530440,0105_000.0,EB
424480_4530420,0105_000.2,EB
425000_4530420,0105_000.5,EB
425240_4530420,0105_000.7,EB
425440_4530420,0105_000.8,EB
424020_4527380,0106_000.0,EB
424540_4527360,0106_000.3,EB
424840_4527380,0106_000.4,EB
425400_4527360,0106_000.8,EB
425920_4527340,0106_001.1,EB
425980_4528760,0106_002.0,EB
425980_4529480,0106_002.5,EB
426000_4530420,0106_003.0,EB
425660_4535260,0106_003.6,EB
425340_4536960,0106_006.1,EB
425300_4538040,0106_007.3,EB
424840_4538180,0106_008.0,EB
424280_4539240,0106_008.3,EB
423660_4539240,0106_009.0,EB
422380_4539200,0106_009.4,EB
406600_4552460,0107_000.0,EB
406980_4552460,0107_000.2,EB
